id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
N_E_11,190.00,N2TL_3,5.10,10.00,1.00,301.00,TL2E_0,750.00,13.91,111.00,1524.57,0.00,0,0.00,3.20,0,tripinfo_N_E_11,standard_car,1.03,
E_W_19,247.00,E2TL_0,5.10,10.00,0.00,461.00,TL2W_1,750.00,15.71,214.00,1528.50,95.00,1,0.00,118.10,0,tripinfo_E_W_19,standard_car,1.16,
W_E_33,322.00,W2TL_0,5.10,10.00,0.00,461.00,TL2E_1,750.00,16.20,139.00,1528.50,28.00,1,0.00,44.77,0,tripinfo_W_E_33,standard_car,1.17,
W_E_3,125.00,W2TL_3,5.10,10.00,1.00,462.00,TL2E_0,750.00,14.63,337.00,1528.50,221.00,1,0.00,234.59,0,tripinfo_W_E_3,standard_car,1.08,
E_W_28,303.00,E2TL_0,5.10,10.00,0.00,463.00,TL2W_1,750.00,15.63,160.00,1528.50,47.00,1,0.00,62.46,0,tripinfo_E_W_28,standard_car,1.13,
E_W_4,132.00,E2TL_2,5.10,10.00,0.00,464.00,TL2W_0,750.00,14.01,332.00,1528.50,211.00,1,0.00,224.43,0,tripinfo_E_W_4,standard_car,1.03,
E_W_30,313.00,E2TL_3,5.10,10.00,0.00,464.00,TL2W_3,750.00,16.07,151.00,1528.50,39.00,1,0.00,57.00,0,tripinfo_E_W_30,standard_car,1.18,
W_E_2,123.00,W2TL_3,5.10,10.00,0.00,465.00,TL2E_0,750.00,13.84,342.00,1528.50,220.00,1,0.00,232.45,0,tripinfo_W_E_2,standard_car,1.01,
E_W_31,318.00,E2TL_0,5.10,10.00,0.00,466.00,TL2W_2,750.00,15.74,148.00,1528.50,35.00,1,0.00,52.52,0,tripinfo_E_W_31,standard_car,1.15,
W_E_21,267.00,W2TL_1,5.10,10.00,0.00,467.00,TL2E_0,750.00,13.64,200.00,1528.50,76.00,1,0.00,90.41,0,tripinfo_W_E_21,standard_car,1.01,
W_E_27,294.00,W2TL_2,5.10,10.00,0.00,467.00,TL2E_1,750.00,13.17,173.00,1528.50,44.00,1,0.00,56.88,0,tripinfo_W_E_27,standard_car,0.95,
E_W_1,78.00,E2TL_1,5.10,10.00,0.00,468.00,TL2W_0,750.00,12.82,390.00,1528.50,261.00,1,0.00,272.69,0,tripinfo_E_W_1,standard_car,0.94,
E_W_15,212.00,E2TL_0,5.10,10.00,0.00,469.00,TL2W_1,750.00,12.81,257.00,1528.50,125.00,1,0.00,137.63,0,tripinfo_E_W_15,standard_car,0.93,
W_E_32,322.00,W2TL_2,5.10,10.00,0.00,469.00,TL2E_0,750.00,13.79,147.00,1528.50,23.00,1,0.00,36.98,0,tripinfo_W_E_32,standard_car,1.01,
W_E_36,344.00,W2TL_3,5.10,10.00,0.00,469.00,TL2E_2,750.00,13.16,125.00,1528.50,0.00,0,0.00,11.36,0,tripinfo_W_E_36,standard_car,0.97,
W_E_40,356.00,W2TL_1,5.10,10.00,0.00,469.00,TL2E_1,750.00,13.82,113.00,1528.50,0.00,0,0.00,5.67,0,tripinfo_W_E_40,standard_car,1.03,
E_W_22,273.00,E2TL_2,5.10,10.00,0.00,471.00,TL2W_0,750.00,13.23,198.00,1528.50,70.00,1,0.00,84.88,0,tripinfo_E_W_22,standard_car,0.97,
E_N_17,243.00,E2TL_0,5.10,10.00,0.00,472.00,TL2N_0,750.00,12.61,229.00,1503.93,98.00,1,0.00,113.05,0,tripinfo_E_N_17,standard_car,0.94,
E_W_16,222.00,E2TL_3,5.10,10.00,0.00,474.00,TL2W_0,750.00,11.80,252.00,1528.50,114.00,1,0.00,126.48,0,tripinfo_E_W_16,standard_car,0.88,
E_N_18,244.00,E2TL_2,5.10,10.00,1.00,474.00,TL2N_0,750.00,12.70,230.00,1503.93,98.00,1,0.00,113.69,0,tripinfo_E_N_18,standard_car,0.94,
E_W_5,142.00,E2TL_0,5.10,10.00,0.00,479.00,TL2W_0,750.00,11.23,337.00,1528.50,190.00,1,0.00,203.70,0,tripinfo_E_W_5,standard_car,0.83,
E_W_29,308.00,E2TL_3,5.10,10.00,0.00,479.00,TL2W_1,750.00,12.75,171.00,1528.50,36.00,1,0.00,51.90,0,tripinfo_E_W_29,standard_car,0.93,
E_W_41,364.00,E2TL_0,5.10,10.00,0.00,482.00,TL2W_0,750.00,13.12,118.00,1528.50,0.00,0,0.00,2.56,0,tripinfo_E_W_41,standard_car,0.96,
W_E_51,402.00,W2TL_1,5.10,10.00,0.00,499.00,TL2E_0,750.00,16.07,97.00,1528.50,0.00,0,0.00,2.84,0,tripinfo_W_E_51,standard_car,1.17,
E_W_53,404.00,E2TL_2,5.10,10.00,0.00,507.00,TL2W_0,750.00,14.84,103.00,1528.50,0.00,0,0.00,2.52,0,tripinfo_E_W_53,standard_car,1.10,
W_E_47,385.00,W2TL_1,5.10,10.00,0.00,510.00,TL2E_0,750.00,12.28,125.00,1528.50,0.00,0,0.00,2.63,0,tripinfo_W_E_47,standard_car,0.90,
E_W_52,402.00,E2TL_3,5.10,10.00,0.00,513.00,TL2W_0,750.00,13.67,111.00,1528.50,0.00,0,0.00,2.31,0,tripinfo_E_W_52,standard_car,1.02,
E_W_54,406.00,E2TL_1,5.10,10.00,0.00,519.00,TL2W_0,750.00,13.56,113.00,1528.50,0.00,0,0.00,2.49,0,tripinfo_E_W_54,standard_car,1.00,
W_S_55,411.00,W2TL_1,5.10,10.00,0.00,527.00,TL2S_0,750.00,13.62,116.00,1503.93,0.00,0,0.00,6.15,0,tripinfo_W_S_55,standard_car,1.00,
W_E_58,420.00,W2TL_3,5.10,10.00,0.00,531.00,TL2E_0,750.00,14.08,111.00,1528.50,0.00,0,0.00,2.57,0,tripinfo_W_E_58,standard_car,1.02,
E_W_50,400.00,E2TL_1,5.10,10.00,0.00,532.00,TL2W_0,750.00,11.45,132.00,1528.50,0.00,0,0.00,3.07,0,tripinfo_E_W_50,standard_car,0.85,
E_W_59,420.00,E2TL_3,5.10,10.00,0.00,536.00,TL2W_0,750.00,13.29,116.00,1528.50,0.00,0,0.00,2.39,0,tripinfo_E_W_59,standard_car,0.97,
W_E_56,413.00,W2TL_2,5.10,10.00,0.00,539.00,TL2E_0,750.00,12.11,126.00,1528.50,0.00,0,0.00,2.75,0,tripinfo_W_E_56,standard_car,0.90,
E_W_62,433.00,E2TL_1,5.10,10.00,0.00,545.00,TL2W_0,750.00,14.03,112.00,1528.50,0.00,0,0.00,2.70,0,tripinfo_E_W_62,standard_car,1.02,
W_N_82,499.00,W2TL_3,5.10,10.00,0.00,668.00,TL2N_1,750.00,13.76,169.00,1524.57,46.00,1,0.00,60.29,0,tripinfo_W_N_82,standard_car,1.02,
W_N_94,523.00,W2TL_3,5.10,10.00,0.00,668.00,TL2N_2,750.00,14.96,145.00,1524.57,27.00,1,0.00,43.21,0,tripinfo_W_N_94,standard_car,1.09,
W_N_71,461.00,W2TL_2,5.10,10.00,0.00,669.00,TL2N_0,750.00,13.40,208.00,1524.57,82.00,1,0.00,93.83,0,tripinfo_W_N_71,standard_car,0.97,
W_N_65,444.00,W2TL_0,5.10,10.00,0.00,672.00,TL2N_0,750.00,12.16,228.00,1524.57,91.00,1,0.00,102.61,0,tripinfo_W_N_65,standard_car,0.88,
W_N_115,577.00,W2TL_0,5.10,10.00,0.00,700.00,TL2N_0,750.00,12.76,123.00,1524.57,0.00,0,0.00,2.93,0,tripinfo_W_N_115,standard_car,0.92,
E_S_123,594.00,E2TL_2,5.10,10.00,0.00,705.00,TL2S_0,750.00,13.75,111.00,1524.57,0.00,0,0.00,2.75,0,tripinfo_E_S_123,standard_car,1.02,
W_N_142,640.00,W2TL_3,5.10,10.00,0.00,761.00,TL2N_0,750.00,12.83,121.00,1524.57,0.00,0,0.00,3.00,0,tripinfo_W_N_142,standard_car,0.94,
S_N_37,344.00,S2TL_2,5.10,10.00,0.00,859.00,TL2N_0,750.00,16.16,515.00,1528.50,405.00,1,0.00,421.19,0,tripinfo_S_N_37,standard_car,1.18,
N_W_6,145.00,N2TL_2,5.10,10.00,0.00,862.00,TL2W_0,750.00,14.04,717.00,1503.93,600.00,1,0.00,612.28,0,tripinfo_N_W_6,standard_car,1.05,
N_S_10,188.00,N2TL_1,5.10,10.00,0.00,862.00,TL2S_0,750.00,14.71,674.00,1528.50,558.00,1,0.00,572.49,0,tripinfo_N_S_10,standard_car,1.09,
S_N_0,66.00,S2TL_2,5.10,10.00,0.00,863.00,TL2N_0,750.00,14.32,797.00,1528.50,679.00,1,0.00,692.58,0,tripinfo_S_N_0,standard_car,1.06,
N_S_12,191.00,N2TL_1,5.10,10.00,2.00,863.00,TL2S_1,750.00,14.10,672.00,1528.50,553.00,1,0.00,566.87,0,tripinfo_N_S_12,standard_car,1.05,
N_S_13,202.00,N2TL_3,5.10,10.00,0.00,863.00,TL2S_0,750.00,15.52,661.00,1528.50,546.00,1,0.00,562.97,0,tripinfo_N_S_13,standard_car,1.12,
S_N_38,352.00,S2TL_3,5.10,10.00,0.00,864.00,TL2N_0,750.00,15.11,512.00,1528.50,395.00,1,0.00,412.10,0,tripinfo_S_N_38,standard_car,1.10,
S_N_57,417.00,S2TL_3,5.10,10.00,0.00,864.00,TL2N_1,750.00,15.53,447.00,1528.50,333.00,1,0.00,349.75,0,tripinfo_S_N_57,standard_car,1.14,
N_S_20,250.00,N2TL_3,5.10,10.00,0.00,867.00,TL2S_0,750.00,13.74,617.00,1528.50,494.00,1,0.00,508.05,0,tripinfo_N_S_20,standard_car,1.02,
S_N_46,381.00,S2TL_3,5.10,10.00,0.00,868.00,TL2N_0,750.00,13.69,487.00,1528.50,361.00,1,0.00,376.10,0,tripinfo_S_N_46,standard_car,1.00,
N_S_35,342.00,N2TL_3,5.10,10.00,0.00,870.00,TL2S_0,750.00,13.80,528.00,1528.50,405.00,1,0.00,419.56,0,tripinfo_N_S_35,standard_car,1.02,
N_S_8,185.00,N2TL_3,5.10,10.00,0.00,871.00,TL2S_0,750.00,12.98,686.00,1528.50,556.00,1,0.00,568.65,0,tripinfo_N_S_8,standard_car,0.94,
N_S_43,367.00,N2TL_0,5.10,10.00,0.00,871.00,TL2S_2,750.00,14.03,504.00,1528.50,383.00,1,0.00,397.74,0,tripinfo_N_S_43,standard_car,1.04,
N_S_14,212.00,N2TL_2,5.10,10.00,0.00,872.00,TL2S_1,750.00,13.70,660.00,1528.50,532.00,1,0.00,548.48,0,tripinfo_N_S_14,standard_car,0.99,
